epoch,avg_loss,train_ndcg,dev_ndcg
1,0.2665446566210853,0.939142162087893,0.9175029983369511
2,0.2638978014389674,0.9435252643062874,0.9193026854737447
3,0.260373308426804,0.9471133111803113,0.9211326848517059
4,0.2541002142760489,0.9498084229267225,0.9198760618118412
5,0.24583964298168817,0.9579758051508354,0.9215755777820347
6,0.2318018385105663,0.9667691799546938,0.922540747830686
7,0.21397985021273294,0.9718690859004738,0.9200264881144825
8,0.18814173175228965,0.97490856511584,0.9253056050161309
9,0.15922398534086016,0.9758155360466159,0.9229405840315844
10,0.12397367755572002,0.9751096076086776,0.9225442622576208
11,0.09285622897247474,0.9771695003333221,0.9248126265025021
