epoch,avg_loss,train_ndcg,dev_ndcg
1,0.2702948749065399,0.955357400627806,0.920444910086529
2,0.2549711565176646,0.966655719974686,0.9212911536446909
3,0.2278150667746862,0.9744786993360638,0.9203109122518264
4,0.179289348423481,0.97783845974577,0.9230559960951389
5,0.11638531213005383,0.9815821057976549,0.9231060816784389
6,0.05875195169614421,0.9779667767415201,0.9239977088219818
7,0.02718829632633262,0.978860973919611,0.9266121397047853
8,0.010811043489310477,0.9773695352551766,0.9188572917529552
9,0.00446357640127341,0.9761805774634384,0.9157999679398228
10,0.00222931450439824,0.9762670097408314,0.9205906343912512
