epoch,avg_loss,train_ndcg,dev_ndcg
1,0.27234860095712876,0.943393605921735,0.9216980186994588
2,0.26801113453176284,0.9446095541444074,0.9211326848517059
3,0.2619541767570708,0.9533084950076508,0.9224288501940662
4,0.2511340313487583,0.9645086418811624,0.9219789284098677
5,0.2356727562016911,0.9716138090052218,0.9211641846638579
6,0.2120545506477356,0.9748698717606109,0.9237215011094918
7,0.18255539155668682,0.9765223984511254,0.9238404275999812
8,0.14285965594980451,0.978663734155885,0.9200568003556503
9,0.10151282863484488,0.976898246097352,0.9143044782825054
10,0.07084455899894238,0.9753228506988482,0.9182804009879237
