epoch,avg_loss,train_ndcg,dev_ndcg
1,0.26545938932233387,0.9426520328272423,0.9198983315626652
2,0.26071494900517994,0.9468208098411216,0.9211326848517059
3,0.2536847914258639,0.9530457141222156,0.9224288501940662
4,0.23923273384571075,0.964291087102887,0.9244208327919472
5,0.21967901289463043,0.971589077848746,0.9218600019193786
6,0.18801708933379915,0.9730102684373175,0.9301731548650921
7,0.1485643982887268,0.9763692757555373,0.9275004263559037
8,0.1060535278585222,0.9794647490968359,0.9264816562970176
9,0.06660497271352345,0.9784902964457479,0.9305064770147519
10,0.042023928111626044,0.9782527826004592,0.9317373158768577
11,0.024810889321896765,0.974798832382631,0.9195566234354107
12,0.013778387724111477,0.97385617952362,0.9245478017727804
13,0.009179131697035499,0.973247951871738,0.9216139325135463
